Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases/1M_pop,Deaths/1M_pop,TotalTests,Tests/1M_pop,WHO_Region,MortalityRatio,RecoveryRatio,CasesPerPopulation,DeathsPer1M,CasesPer1M,DailyGrowthRateCases,DailyGrowthRateDeaths,DailyGrowthRateRecovered,DailyGrowthRateCases_MA7,DailyGrowthRateDeaths_MA7,DailyGrowthRateRecovered_MA7
Timor-Leste,Asia,1320812.0,25,656.0,113.0,80.0,24.0,936.0,1.0,27.5,19.0,29.0,4238.0,3209.0,South-EastAsia,451.99999999999994,96.0,1.8927750504992385e-05,85.55343228256558,18.927750504992385,2624.0,70.79646017699115,3900.0,1947.0014341278013,2707.1217867678047,3242.192741359534
Grenada,North America,112576.0,24,656.0,113.0,80.0,23.0,936.0,1.0,27.5,213.0,29.0,6252.0,55536.0,Americas,470.8333333333333,95.83333333333334,0.00021318931210915292,1003.7663445139284,213.18931210915292,2733.333333333333,70.79646017699115,4069.5652173913045,2170.130685828481,2707.121786767805,3532.875971173199
New Caledonia,Australia/Oceania,285769.0,22,656.0,113.0,80.0,22.0,936.0,0.0,27.5,77.0,29.0,11099.0,38839.0,Europe,513.6363636363636,100.0,7.698525732322261e-05,395.4242762510979,76.98525732322261,2981.8181818181815,70.79646017699115,4254.545454545455,2419.2853047944213,2336.2831858407085,3814.5357747842218
Laos,Asia,7285750.0,20,656.0,113.0,80.0,19.0,936.0,1.0,27.5,3.0,29.0,29374.0,4032.0,WesternPacific,565.0,95.0,2.7450845829187114e-06,15.509727893490718,2.7450845829187114,3279.9999999999995,70.79646017699115,4926.315789473684,2684.1300252913156,2336.2831858407085,4227.611943466798
Dominica,North America,72004.0,18,656.0,113.0,80.0,18.0,936.0,0.0,27.5,250.0,29.0,1005.0,13958.0,Americas,627.7777777777777,100.0,0.00024998611188267316,1569.3572579301149,249.98611188267316,3644.4444444444443,70.79646017699115,5200.0,2902.4607984607983,1203.53982300885,4492.918065915778
Saint Kitts and Nevis,North America,53237.0,17,656.0,113.0,80.0,16.0,936.0,1.0,27.5,319.0,29.0,1146.0,21526.0,Americas,664.7058823529412,94.11764705882352,0.00031932678400360654,2122.583917200443,319.3267840036065,3858.8235294117644,70.79646017699115,5850.0,3106.6313555725314,70.79646017699115,4585.775208772921
Greenland,North America,56780.0,14,656.0,113.0,80.0,14.0,936.0,0.0,27.5,247.0,29.0,5977.0,105266.0,Europe,807.1428571428571,100.0,0.0002465656921451215,1990.137372314195,246.56569214512152,4685.714285714285,70.79646017699115,6685.714285714286,3401.1619678174293,70.79646017699115,4983.73439244639
Montserrat,North America,4992.0,13,656.0,1.0,80.0,10.0,936.0,2.0,27.5,2604.0,200.0,61.0,12220.0,Europe,7.6923076923076925,76.92307692307693,0.0026041666666666665,200.32051282051282,2604.1666666666665,5046.153846153846,8000.0,9360.0,3747.1839458394074,1203.53982300885,5763.734392446391
Caribbean Netherlands,North America,26247.0,13,656.0,113.0,80.0,7.0,936.0,6.0,27.5,495.0,29.0,424.0,16154.0,Europe,869.2307692307692,53.84615384615385,0.0004952947003467063,4305.2539337829085,495.2947003467063,5046.153846153846,70.79646017699115,13371.428571428572,4077.586876242338,1203.53982300885,7092.572014451715
Falkland Islands,South America,3489.0,13,656.0,113.0,80.0,13.0,936.0,0.0,27.5,3726.0,29.0,1816.0,520493.0,Europe,869.2307692307692,100.0,0.003725995987388937,32387.503582688452,3725.995987388937,5046.153846153846,70.79646017699115,7200.0,4372.491971147433,1203.53982300885,7513.351235230935
